GOOG,,Alphabet Inc. Class C Capital Stock*,Equity,20180920,X,X,,,,,,,,
GOOGL,,Alphabet Inc. Class A*,Equity,20180920,X,X,,,,,,,,
GOOS,,Canada Goose Holdings Inc.*,Equity,20180920,X,X,,,,,,,,
GPC,,Genuine Parts Co.*,Equity,20180920,X,X,,,,,,,,
GPOR,,GULFPORT ENERGY CORP,Equity,20180920,X,X,,,,,,,,
GPRO,,GoPro Inc*,Equity,20180920,X,X,,,,,,,,
GPS,,GAP INC*,Equity,20180920,X,X,,,,,,,,
GRMN,,GARMIN LTD.*,Equity,20180920,X,X,,,,,,,,
GRPN,,Groupon Inc*,Equity,20180920,X,X,,,,,,,,
GRUB,,GrubHub Inc.*,Equity,20180920,X,X,,,,,,,,
GS,,GOLDMAN SACHS GROUP*,Equity,20180920,X,X,,,,,,,,
GSK,,GLAXOSMITHKLINE PLC*,Equity,20180920,X,X,,,,,,,,
GT,,GOODYEAR T & R*,Equity,20180920,X,X,,,,,,,,
GWW,,"GRAINGER, W.W. INC.*",Equity,20180920,X,X,,,,,,,,
HAL,,HALLIBURTON CO*,Equity,20180920,X,X,,,,,,,,
HAS,,"HASBRO, INC*",Equity,20180920,X,X,,,,,,,,
HCA,,"HCA Healthcare, Inc.*",Equity,20180920,X,X,,,,,,,,
HD,,HOME DEPOT INC*,Equity,20180920,X,X,,,,,,,,
HES,,Hess Corporation*,Equity,20180920,X,X,,,,,,,,
HFC,,HollyFrontier Corporation*,Equity,20180920,X,X,,,,,,,,
HIG,,HARTFORD FINANCIAL SERVICES*,Equity,20180920,X,X,,,,,,,,
HIMX,,"Himax Technologies, Inc.*",Equity,20180920,X,X,,,,,,,,
HL,,HECLA  MINING COMPANY*,Equity,20180920,X,X,,,,,,,,
HLF,,HERBALIFE LTD*,Equity,20180920,X,X,,,,,,,,
HOG,,"HARLEY DAVIDSON, INC.*",Equity,20180920,X,X,,,,,,,,
HON,,HONEYWELL INTL INC (NEW)*,Equity,20180920,X,X,,,,,,,,
HPE,,Hewlett Packard Enterprise Co.*,Equity,20180920,X,X,,,,,,,,
HPQ,,HP Inc.*,Equity,20180920,X,X,,,,,,,,
HRL,,Hormel Foods Corporation*,Equity,20180920,X,X,,,,,,,,
HSBC,,HSBC HOLDINGS PLC*,Equity,20180920,X,X,,,,,,,,
HSY,,HERSHEY CO THE*,Equity,20180920,X,X,,,,,,,,
HUM,,HUMANA*,Equity,20180920,X,X,,,,,,,,
HUYA,,HUYA Inc,Equity,20180920,X,X,,,,,,,,
IBM,,INTL BUSINESS MACHINE*,Equity,20180920,X,X,,,,,,,,
ICPT,,"Intercept Pharmaceuticals, Inc.*",Equity,20180920,X,X,,,,,,,,
ILMN,,"Illumina, Inc.*",Equity,20180920,X,X,,,,,,,,
INFN,,Infinera Corporation*,Equity,20180920,X,X,,,,,,,,
INTC,,INTEL CORPORATION*,Equity,20180920,X,X,,,,,,,,
IONS,,"Ionis Pharmaceuticals, Inc.*",Equity,20180920,X,X,,,,,,,,
IP,,INTL PAPER*,Equity,20180920,X,X,,,,,,,,
IRBT,,iRobot Corporation*,Equity,20180920,X,X,,,,,,,,
ISRG,,"INTUITIVE SURGICAL, INC.*",Equity,20180920,X,X,,,,,,,,
ITW,,ILLINOIS TOOL WORKS*,Equity,20180920,X,X,,,,,,,,
JBL,,Jabil Inc.*,Equity,20180920,X,X,,,,,,,,
JCP,,J C PENNY*,Equity,20180920,X,X,,,,,,,,
JD,,JD.com Inc*,Equity,20180920,X,X,,,,,,,,
JNJ,,JOHNSON & JOHNSON*,Equity,20180920,X,X,,,,,,,,
JNPR,,"JUNIPER NETWORKS,INC.*",Equity,20180920,X,X,,,,,,,,
JPM,,JPMORGAN CHASE & CO*,Equity,20180920,X,X,,,,,,,,
KEY,,KEYCORP NEW*,Equity,20180920,X,X,,,,,,,,
KGC,,KINROSS GOLD CORPORATION*,Equity,20180920,X,X,,,,,,,,
KKR,,KKR & Co. LP*,Equity,20180920,X,X,,,,,,,,
KMI,,Kinder Morgan Inc.*,Equity,20180920,X,X,,,,,,,,
KMB,,KIMBERLY CLARK CORP*,Equity,20180920,X,X,,,,,,,,
KMX,,CARMAX INC.*,Equity,20180920,X,X,,,,,,,,
KO,,COCA-COLA COMPANY*,Equity,20180920,X,X,,,,,,,,
KODK, ,EASTMAN KODAK COMPANY NEW*,Equity,20180920,X,X,,,,,,,,
KORS,,Michael Kors Holdings Ltd*,Equity,20180920,X,X,,,,,,,,
KR,,KROGER CO*,Equity,20180920,X,X,,,,,,,,
KSS,,KOHL'S CORP*,Equity,20180920,X,X,,,,,,,,
KSU,,KANSAS CITY SOUTHERN*,Equity,20180920,X,X,,,,,,,,
LB,,"L Brands, Inc.*",Equity,20180920,X,X,,,,,,,,
LL,,Lumber Liquidators Holdings Inc*,Equity,20180920,X,X,,,,,,,,
LLY,,ELI LILLY & CO*,Equity,20180920,X,X,,,,,,,,
LMT,,LOCKHEED MARTIN*,Equity,20180920,X,X,,,,,,,,
LNG,,CHENIERE ENERGY INC*,Equity,20180920,X,X,,,,,,,,
LOW,,LOWES COS*,Equity,20180920,X,X,,,,,,,,
LRCX,,LAM RESEARCH CORP.*,Equity,20180920,X,X,,,,,,,,
LULU,,Lululemon Athletica Inc.*,Equity,20180920,X,X,,,,,,,,
LUV,,SOUTHWEST AIRLINES COMPANY*,Equity,20180920,X,X,,,,,,,,
LVS,,Las Vegas Sands Corp*,Equity,20180920,X,X,,,,,,,,
LYB,,LyondellBasell Industries NV*,Equity,20180920,X,X,,,,,,,,
M,,Macy's Inc*,Equity,20180920,X,X,,,,,,,,
MA,,Mastercard Incorporated Class A*,Equity,20180920,X,X,,,,,,,,
MAR,,MARRIOTT INT'L*,Equity,20180920,X,X,,,,,,,,
MAT,,MATTEL INC*,Equity,20180920,X,X,,,,,,,,
MBI,,MBIA INC.*,Equity,20180920,X,X,,,,,,,,
MCD,,MCDONALDS CORP*,Equity,20180920,X,X,,,,,,,,
MCK,,MCKESSON CORPORATION*,Equity,20180920,X,X,,,,,,,,
MDLZ,,"Mondelez International, Inc.*",Equity,20180920,X,X,,,,,,,,
MDT,,Medtronic plc*,Equity,20180920,X,X,,,,,,,,
MET,,"METLIFE, INC.*",Equity,20180920,X,X,,,,,,,,
MGM,,MGM Resorts International*,Equity,20180920,X,X,,,,,,,,
MMM,,3M*,Equity,20180920,X,X,,,,,,,,
MNK,,Mallinckrodt PLC*,Equity,20180920,X,X,,,,,,,,
MNKD,,MANNKIND CORPORATION*,Equity,20180920,X,X,,,,,,,,
MNST,,Monster Beverage Corporation*,Equity,20180920,X,X,,,,,,,,
